,mapper_node_location,ESR1,AR,VDR,KRT5,MKI67,KRT18,MME,SMN1,TP63
GTEX-13113-1726-SM-5GCOO,none,-0.412959733828965,-1.02947548557165,0.76896749095985,2.12760796644156,0.040106163560328,-0.090799177746849,1.75060649092122,0.840981695817285,1.72137352778526
GTEX-1313W-0826-SM-5EQ4T,none,0.442544758067788,-0.475559745941949,-0.376126742813442,-0.438407331904179,-0.288709138989369,-0.355110811663439,-0.426485314125002,-0.091516651173218,-0.263360823183637
GTEX-1314G-1226-SM-5BC6D,none,0.265275254830624,0.074294283406321,-0.670991944667429,-0.618218818884572,-0.400422030240228,-0.502997654562141,-0.874716732281343,0.212702667703116,-0.533517665990465
GTEX-131XW-0726-SM-5EGK3,g,0.200317976403649,-0.60705761630317,0.832201986462337,0.48746175647186,0.364705885308105,4.73125424240136,-0.417462034443948,1.97188394642279,1.33159499836247
GTEX-131YS-0626-SM-5EGKL,b,0.64318018879667,0.110341962153991,0.236972930971538,0.40946118747202,-0.096900212502046,1.1509639327181,-0.288429135004881,0.179635350433949,1.23751052574318
GTEX-132AR-0826-SM-5EGK6,d,-0.549105204680706,-0.611627040369776,-0.624253404513417,-0.843149916748582,-0.107439164506844,-0.813362436883979,1.6750365235924,-0.984334217440721,-0.702869716705192
GTEX-132NY-0826-SM-5K7Y7,b|c,-0.23989609754031,-0.571517651340678,-0.583700847615083,-0.832045090123124,-0.267631234979773,-0.78174839441437,-0.838398031565102,-0.918199582902388,-0.701973674108818
GTEX-133LE-1726-SM-5K7VQ,g,-0.420125284926425,-0.591318488962638,0.655557797939086,1.23301914045195,-0.314002623800884,0.142202394877724,-0.560481017388649,0.675645109471451,0.797553610923439
GTEX-1399U-1826-SM-5PNZ1,h,-0.367785607344977,0.003214353481337,3.09214786920338,2.06924926795942,-0.404637611042147,0.728278105275867,0.625629096685856,0.192862277341616,0.31682675796867
GTEX-139T6-1626-SM-5PNYZ,b|c,-0.204224114902954,2.40114656087919,-0.374752079867736,-0.845150786410827,-0.362481803022955,-0.808194756864908,0.082653241878452,-0.422189823864886,-0.703765759301567
GTEX-139T8-0826-SM-5L3DE,a|b,-0.407819229780787,-1.13914166317019,0.064452731285406,-0.331861022389648,1.79589556755967,0.697576006339035,-0.420394600340291,-0.594139873664553,0.022476765059739
GTEX-139TU-0626-SM-5KM3X,none,-0.01262350947087,-0.036387321762583,-0.725978462495678,-0.325758369919802,0.265639736463004,0.003131006129202,-0.484008722091719,-0.785930313825721,-0.590864392158415
GTEX-13CF2-2026-SM-5K7VI,none,1.7128723493675,0.718075363012606,-0.409118653510392,1.39542306137081,-0.391990868636389,2.57921949563598,-0.920735458654717,-0.151037822257718,0.011724253903248
GTEX-13CF3-2126-SM-5IFJP,c,-0.608921979059503,0.359121716891436,-0.636625371024773,-0.843083221093174,-0.286601348588409,-0.801507170957875,2.81783489519785,-0.223785920249885,-0.711382121370748
GTEX-13D11-1026-SM-5IJFB,e,-0.472309189657927,0.096633689954173,1.54015340350105,1.60197950616987,-0.278170186984571,0.221237501051747,-0.437313249742266,-0.078289724265552,0.444960849250184
GTEX-13FHO-0826-SM-5L3E8,none,-0.365760560295695,-0.869545643240433,-0.278525673668299,-0.227282234709657,0.217160557240934,-0.329120420979289,-0.822381710131232,-0.098130114627052,0.112529045995348
GTEX-13FTW-1426-SM-5LZWZ,a,-0.455485721863891,0.753615327975098,-0.5101563800198,-0.843816873302663,1.20571425529098,-0.80530693567778,0.375909831512696,-0.680114898564387,-0.69390929074145
GTEX-13FTX-1126-SM-5N9EN,d|f,-0.505333033846221,0.884097770765961,-0.710169838620057,-0.842849786299245,-0.086361260497248,-0.775364789684929,1.68721795116182,-0.514778312218553,-0.713622227861683
GTEX-13FTY-2226-SM-5J1ND,none,1.20022390019922,1.41161239356638,0.7799647945255,0.409794665749061,-0.280277977385531,1.68809867352386,-0.207219617875398,-0.111357041534718,1.97629764645373
GTEX-13N11-1726-SM-5J1OJ,none,-0.195189289606157,0.771893024241522,1.54427739233817,0.437273275777222,0.002165936343055,0.565952156441526,0.002346052717074,1.85284160425379,0.276056819833643
GTEX-13N1W-0626-SM-5MR4U,c,-0.506734989495724,0.037738890873472,-0.589199499397908,-0.846718134312918,-0.33297273740952,-0.816554239248699,-0.335124607354334,-0.058449333904052,-0.709142014879812
GTEX-13NZ8-0126-SM-5IJCT,c|d,0.061680139952792,-0.678645260013332,0.195045711127498,-0.105929489694515,-0.368805174225834,-0.022707393966152,-0.796214199056176,0.047366081357282,0.284121203201011
GTEX-13NZ9-1026-SM-5MR5K,none,0.708604785773479,0.175837040442012,0.565517374995328,0.103594911770211,0.693521187857802,0.095997255883679,-0.989312384230725,0.192862277341616,0.49200308555983
GTEX-13NZB-2126-SM-5MR4Y,x,4.07236370748114,1.71827151981417,-0.293646966071068,0.555824803265221,-0.366697383824874,2.15744561172653,-0.491678509820615,-1.16289773069422,0.429728125111822
GTEX-13O3O-0826-SM-5K7WE,none,-0.129297374079513,-1.04826089562325,0.644560494373436,2.81577373894293,-0.02523533886942,1.04897824763585,-0.195038190305975,1.58168960264662,0.752303459806541
GTEX-13O3P-0826-SM-5L3DH,f,-0.479318967905443,-1.1320336701777,0.355881275775127,-0.482960029716829,0.065399648371843,-0.030914885761147,-0.599506702009206,-0.356055189326552,0.061454618002017
GTEX-13O3Q-2226-SM-5KM4O,b,-0.204224114902954,-0.717739221472074,-0.609132112110649,-0.845150786410827,-0.360374012621995,-0.798011387415563,-1.12984996526314,-0.395735970049553,-0.689877099057766
GTEX-13O61-1826-SM-5KM4I,c,-0.582752140268779,-0.062280724806684,-0.57407820699514,-0.838647960008531,-0.324541575805682,-0.802875086257041,-0.643946354438396,-0.521391775672386,-0.718998483439928
GTEX-13OW5-2226-SM-5L3HC,none,1.92098487689373,-0.033341039051512,-0.52115368358545,-0.288742281168274,-0.38777528783447,0.084293980546372,-0.769595523997068,-1.53986514756272,0.126865727537336
GTEX-13OW8-0226-SM-5K7UP,c,-0.266689027730813,-1.14878822508858,-0.720479810712854,-0.497533030423511,-0.345619479815278,-0.662739763386946,-0.738239627105406,-0.184105139526885,-0.36371759397755
GTEX-13PL6-2926-SM-5L3I2,h,-0.08879643309387,-0.764448889708492,0.87481653777923,1.58303794003396,-0.210720894153864,0.528258490420069,0.543968415572321,0.860822086178785,3.73746936962726
GTEX-13PVQ-1026-SM-5KM3M,c,-0.585556051567785,-0.953826131580057,-0.355506798627849,-0.842983177610062,-0.345619479815278,-0.818986088669438,-0.815163086386389,1.18488179541662,-0.716310355650806
GTEX-13PVR-2226-SM-7DHKP,g,-0.341304222854364,-0.414126377935356,0.690611703054595,0.820673250891014,-0.031558710072299,0.201630715097038,1.17762823117432,-0.620593727479887,0.262168159589843
GTEX-13QIC-2326-SM-5LU5N,e,0.0091846895214,-0.834513392063119,0.683051056853211,0.391019838751665,0.223483928443812,0.297840757805031,-0.11518216512865,0.206089204249283,1.44270428031288
GTEX-13QJ3-0826-SM-7DHKK,none,-0.568109492373969,-1.3158260604123,-0.435924580951663,-0.839481655701133,13.567904956919,-0.807434803920927,0.538328865771662,-0.54784562948772,-0.689429077759579
GTEX-13SLW-2526-SM-62LDQ,none,0.100000261039209,0.032661753021687,-0.528714329786834,-0.112965881340076,-0.419392143848864,0.014530300288917,-0.933819214192245,-1.34146124394772,-0.347140805944627
GTEX-13SLX-2326-SM-5ZZWE,h,0.333659535956384,-0.790342292752593,0.468603637323038,0.769117509260509,-0.210720894153864,3.3022387265395,-0.761248990292093,2.53402833999862,1.57128639289258
GTEX-13VXU-2826-SM-664MA,a,-0.504242623896608,-1.06552316431932,-0.790587620943871,-0.842416264539092,0.071723019574722,-0.751654257832722,-0.71455351794264,0.702098963286784,-0.715414313054432
GTEX-13W3W-1226-SM-5LU4H,f,-0.346756272602431,-0.242011404759858,0.364129253449365,1.32495910143209,-0.410960982245025,-0.347359291634833,0.003248380685179,-1.24887275559406,0.136274174799265
GTEX-13W46-0826-SM-5LU3H,b,-0.381649390990063,-0.670521839450477,-0.110129462819286,-0.830444394393328,-0.379344126230632,-0.761837627282068,-0.47160171253027,0.953410574532452,-0.688533035163205
GTEX-144GL-2026-SM-5LU3O,c|d,-0.507669626595393,-0.352693009928762,-0.739725091952741,-0.837880959971338,-0.341403899013359,-0.777492657928076,-0.563188001292965,-0.871905338725554,-0.682708758286773
GTEX-144GM-0926-SM-5O994,c|d,-0.363735513246413,0.24590154279664,-0.589886830870761,-0.837780916488225,0.075938600376641,-0.793451669751677,0.963776502733343,-0.223785920249885,-0.705109823196128
GTEX-145LT-0726-SM-5S2VM,none,0.568409220823174,-0.007447636007411,-0.270965027466915,0.795528988802139,0.623964104626135,1.67533146406498,-0.800725838896703,-0.276693627880552,-0.359237380995679
GTEX-145ME-1526-SM-5Q5F2,c,-0.566863309574411,-0.333399886091981,-0.853134784973505,-0.837680873005113,-0.330864947008561,-0.77414886497456,0.464563554379048,0.126727642803282,-0.702421695407005
GTEX-145MF-2226-SM-7EPIR,c,-0.288964545272917,-0.62330445742888,-0.818080879857996,-0.847018264762255,-0.408853191844066,-0.794211622695658,-0.988184474270593,0.100273788987949,-0.71720639824718
GTEX-145MN-1926-SM-5SIAI,d,-0.445827805167314,0.470311035845518,-0.310142921419543,-0.841049003603225,-0.28449355818745,-0.779924507348815,-0.419717854364212,-0.415576360411053,-0.712726185265309
GTEX-145MO-0826-SM-5NQBL,none,0.775275565549846,-0.328830462025375,-0.755533715828362,-0.395622068959846,-0.379344126230632,-0.158890961527546,-0.37911309579947,-0.779316850371887,-0.526349325219471
GTEX-146FH-0826-SM-5SI8T,c,-0.241609598889702,-0.489775731926946,-0.282649662505418,-0.508337726599632,-0.155918343728915,-0.592520111363102,-0.584618290535468,-0.111357041534718,0.057422426318334
GTEX-14753-2426-SM-5LU8U,b,-0.540226152233853,-0.97565782434273,-0.849010796136386,-0.829710742183838,-0.391990868636389,-0.798619349770748,-0.748165234754566,-0.375895579688052,-0.709590036177999
GTEX-147F4-2826-SM-5NQBN,none,1.0154773001647,0.331705172491799,-0.365816770720645,0.349235010638454,-0.227583217361541,1.48914299278964,0.568782434695218,0.311904619510616,0.22229426405119
GTEX-14A5I-0726-SM-5TDEB,h,-0.198772065154887,-0.444589205046063,0.414304450967642,1.62732385522497,-0.172780666936591,0.783602679597683,0.634426794374884,0.721939353648284,0.654186795503564
GTEX-14AS3-1626-SM-5S2OY,e,-0.426200426074271,-1.07821600894878,0.258280206629985,1.61625237642722,-0.354050641419116,0.832695639778856,-0.925923844471323,0.331745009872116,1.54843730668504
GTEX-14B4R-1226-SM-5TDDT,d,-0.591631192715632,-0.459820618601417,-0.787150963579606,-0.832878785815726,0.014812678748813,-0.805762907444169,-0.168419515246867,-1.18935158450956,-0.701077631512444
GTEX-14BMU-1626-SM-5TDE7,h,-0.493182751550528,0.336782310343584,2.53059805588239,2.0117909608253,-0.054744404482854,0.348149642696573,0.184165138290305,-0.084903187719385,1.87459681176525
GTEX-14BMV-0626-SM-793AU,d,-0.395357401785204,0.126081089494524,-0.818768211330849,-0.844250395062817,-0.400422030240228,-0.816554239248699,0.097992817336243,-0.541232166033886,-0.701525652810631
GTEX-14DAR-1326-SM-7DUEG,d,-0.52776432423827,1.21766572762821,-0.814644222493731,-0.745040607643183,-0.183319618941389,-0.813058455706387,0.117844032634561,-0.918199582902388,-0.67374833232303
GTEX-14E6C-1326-SM-62LEQ,b|c,-0.58960614566635,-0.700476952776006,-0.057204939409596,-0.747875172998029,-0.240229959767298,-0.747246530757632,-0.077961136444304,0.490468132764117,-0.708693993581625
GTEX-14E6E-1326-SM-5S2NR,d,-0.533216373986338,1.01813421005307,-0.602946128854971,-0.830744524842665,-0.029450919671339,-0.820050022791012,0.841962227039118,-0.693341825472053,-0.708693993581625
GTEX-14E7W-0826-SM-62LEJ,b,-0.180702414561292,-0.665444701598692,-0.613256100947767,-0.847018264762255,0.042213953961287,-0.816250258071107,-0.610334637626471,-0.70656875237972,-0.707797950985251
GTEX-14H4A-2526-SM-5YYAY,h,-0.510006219344565,-0.987335241401835,2.27422341650818,0.534415497879203,-0.130624858917399,3.11179451877786,-0.184210254688711,0.186248813887783,0.489314957770708
GTEX-14ICK-2426-SM-6EU27,none,0.228512862243655,0.197668733204686,-0.453107867772991,0.190165872489999,-0.366697383824874,0.884828411735952,-0.434831847829977,0.120114179349449,-0.456458002702282
